trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,gender_slider.response,is_trial,image.dir,image.num,rating_score.response,rating_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2.0,y,./images/male/15.jpg,.jpg,3.0,0.7104204999996,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
1,0,1,0,,n,./images/male/7.jpg,jpg,2.0,1.1117636999997558,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
2,0,2,0,,n,./images/male/10.jpg,.jpg,1.0,1.0297183000002406,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
3,0,3,0,,n,./images/male/29.jpg,.jpg,2.0,1.075670799999898,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
4,0,4,0,,n,./images/male/27.jpg,.jpg,1.0,2.2560060999994676,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
5,0,5,0,,n,./images/male/4.jpg,jpg,3.0,1.0205831000002945,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
6,0,6,0,,n,./images/male/12.jpg,.jpg,2.0,1.0494220000000496,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
7,0,7,0,,n,./images/male/16.jpg,.jpg,4.0,3.2105380000002697,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
8,0,8,0,,n,./images/male/2.jpg,jpg,2.0,0.8286301999996795,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
9,0,9,0,,n,./images/male/5.jpg,jpg,3.0,0.9463916999993671,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
10,0,10,0,,n,./images/male/20.jpg,.jpg,4.0,0.9176201000000219,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
11,0,11,0,,n,./images/male/23.jpg,.jpg,2.0,0.991461800000252,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
12,0,12,0,,n,./images/male/30.jpg,.jpg,1.0,1.3834612000000561,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
13,0,13,0,,n,./images/male/6.jpg,jpg,2.0,0.6351385999996637,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
14,0,14,0,,n,./images/male/28.jpg,.jpg,3.0,1.4899649999997564,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
15,0,15,0,,n,./images/male/13.jpg,.jpg,4.0,1.8978019999995013,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
16,0,16,0,,n,./images/male/11.jpg,.jpg,4.0,1.2117926000000807,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
17,0,17,0,,n,./images/male/3.jpg,jpg,3.0,0.9503687000005812,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
18,0,18,0,,n,./images/male/19.jpg,.jpg,1.0,1.0568639000002804,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
19,0,19,0,,n,./images/male/24.jpg,.jpg,3.0,0.7459890999998606,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
20,0,20,0,,n,./images/male/25.jpg,.jpg,3.0,0.6427696999999171,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
21,0,21,0,,n,./images/male/21.jpg,.jpg,2.0,0.8904970999992656,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
22,0,22,0,,n,./images/male/14.jpg,.jpg,2.0,1.0418808999993416,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
23,0,23,0,,n,./images/male/9.jpg,jpg,2.0,0.8130697000005966,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
24,0,24,0,,n,./images/male/22.jpg,.jpg,3.0,0.8496463000001313,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
25,0,25,0,,n,./images/male/26.jpg,.jpg,2.0,0.7615355999996609,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
26,0,26,0,,n,./images/male/18.jpg,.jpg,1.0,0.7667879000000539,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
27,0,27,0,,n,./images/male/1.jpg,jpg,3.0,1.9798888000004808,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
28,0,28,0,,n,./images/male/8.jpg,jpg,2.0,0.9472313999995094,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
29,0,29,0,,n,./images/male/17.jpg,.jpg,2.0,0.8932581000008213,114456,001,2022_Aug_03_1259,pupil_reaction_to_faces,2021.2.3,59.937161879624966,
